######################################################################################
# PhishScore | PhishStats                                                            #
# Score ranges: 0-2 likely 2-4 suspicious 4-6 phishing 6-10 omg phishing!            #
# Ranges may be adjusted without notice. List updated every 90 minutes. Do not crawl #
# too much at the risk of being blocked.                                             #
# Many Phishing websites are legitimate websites that have been hacked, so keep that #
# in mind before blocking everything. Feed is provided as is, without any warrant.   #
# CSV: Date,Score,URL,IP                                                             #
######################################################################################
"2024-08-03 20:02:44","5.80","https://google.com/amp/s/pub-513415bbbd6d43e39e7853abbe68ca5a.r2.dev/jj.html#info@mup.cz","142.251.40.238"
"2024-08-03 20:02:43","5.80","https://google.com/amp/s/cloudflare-ipfs.com/ipfs/QmaQvXhyT6QD3s3PM15Qmr5zVn79YMLJ7ZNBiXTzy7xmyG/#info@mup.cz","2607:f8b0:4006:823::200e"
"2024-08-03 20:02:41","5.70","https://google.com/amp/s/cloudflare-ipfs.com/ipfs/QmaQvXhyT6QD3s3PM15Qmr5zVn79YMLJ7ZNBiXTzy7xmyG/","2607:f8b0:4006:823::200e"
"2024-08-03 20:02:40","2.30","https://google.com//amp/a/barkingspainc.com/.Mtree34$/EMAIL_REDACTED","2607:f8b0:4006:823::200e"
"2024-08-03 20:02:07","1.90","https://gemninnalogins.gitbook.io/usa","104.18.1.81"
"2024-08-03 19:58:24","3.50","https://156.108.205.92.host.secureserver.net/","92.205.108.156"
"2024-08-03 19:58:23","5.00","https://12.62.205.92.host.secureserver.net/livegtz380/","92.205.62.12"
"2024-08-03 19:56:39","3.40","http://12.62.205.92.host.secureserver.net/livegtz380","92.205.62.12"
"2024-08-03 17:25:28","2.20","https://zzs.ihh.mybluehost.me/swisspass/","162.241.219.137"
"2024-08-03 17:25:27","1.50","https://zzs.ihh.mybluehost.me/swisspass","162.241.219.137"
"2024-08-03 17:25:26","5.20","https://zurilhoumachkund65290760.com/","2606:4700:3034::ac43:b2f7"
"2024-08-03 17:25:14","1.60","https://zonamisproductos.xyz/","2606:4700:3034::6815:22b5"
"2024-08-03 17:25:01","4.60","https://xmyufuxx.com","87.121.112.75"
"2024-08-03 17:24:58","3.10","https://xhlnmedia.com","87.121.112.75"
"2024-08-03 17:24:52","3.10","https://xasckj.com","87.121.112.75"
"2024-08-03 17:24:49","1.80","https://www.studstep.kh.ua/cybersecurity-engineer/","185.68.16.101"
"2024-08-03 17:24:47","1.80","https://www.rahmapk.org/MTU1MjI0NTI5Nw==-th2sxgen-pgx-919384826-ifxjobando-isxcajaarequipa.pesf-1MC4w","64.31.47.106"
"2024-08-03 17:24:46","1.40","https://www.mtsits.co.uk/icon/djak/?master=mind","142.132.251.75"
"2024-08-03 17:24:42","3.60","https://www.dropbox.com/scl/fi/dzn9vecv4m2ty28zzbn84/British-Telecommunication.paper?rlkey=usoql9w89ku4x705h7ja2eare&dl=0","2620:100:6019:18::a27d:412"
"2024-08-03 17:24:40","4.50","https://www.dropbox.com/scl/fi/0wp0jtxqj2n607ss72mo3/BT-Voice-Message.papert?dl=0&rlkey=2deygi25czt48edmv8u5ac03f","162.125.4.18"
"2024-08-03 17:24:35","2.90","https://www.c0ntasline.site/","104.21.24.174"
"2024-08-03 17:24:34","1.40","https://www.ayudadirecta.org/es/","95.141.32.73"
"2024-08-03 17:24:32","1.70","https://www.areaderetencioncanaldigital.com/","185.162.89.26"
"2024-08-03 17:24:30","4.20","https://www.ajbzj.com/","2606:4700:3035::6815:4b0f"
"2024-08-03 17:24:06","2.10","https://webchecking.cc/anyfactorys/","172.67.195.208"
"2024-08-03 17:23:58","2.70","https://vwa.mjj.mybluehost.me/wp-admin/it/","50.87.170.107"
"2024-08-03 17:23:56","1.20","https://vwa.mjj.mybluehost.me/wp-admin/it","50.87.170.107"
"2024-08-03 17:23:44","3.90","https://us17.list-manage.com/survey?u=be34942de326e3afaf85b1488&id=27966daac4","23.201.160.160"
