Date,SampleHash,SampleDir,Domain
2025-01-01,ee3b549ba5b301ea,2025-01-01-21-phishstats,http://spotfyx.com/
2025-01-01,c52834ab78e95ed1,2025-01-01-21-phishstats,https://garenavn.vn/
2025-01-01,942fe937d9740e6c,2025-01-01-21-phishstats,https://www.facebook.com/
2025-01-01,7504352d9cd14e6c,2025-01-01-21-phishstats,https://garenavn.vn/
2025-01-01,61fa202b787a658d,2025-01-01-21-phishstats,https://www.facebook.com/
2025-01-01,291e6c8c9a321ba9,2025-01-01-21-phishstats,https://www.mediapart.fr/
2025-01-01,8a8bd87ec2f0a7a0,2025-01-01-21-phishstats,http://spotfyx.com/
2025-01-01,9cea5498a33bc0e4,2025-01-01-21-phishstats,https://www.google.com/
2025-01-01,9325dd0463a43e2c,2025-01-01-21-phishtank,https://www.google.com/
2025-01-02,5ab2d9a5764a882a,2025-01-02-16-phishtank,https://www.mediapart.fr/
2025-01-02,4c501111a538d8a4,2025-01-02-16-phishtank,https://www.google.com/
2025-01-02,a1dac4541cdb3e92,2025-01-02-16-phishtank,https://href.li/?https\://www.bbc.com
2025-01-02,ab9129443df989d1,2025-01-02-16-phishtank,https://www.mediapart.fr/
2025-01-02,b693a30375c1cd37,2025-01-02-16-phishtank,https://www.google.com/
2025-01-02,7116db5cc098dc12,2025-01-02-16-phishtank,https://www.mbhbank.hu/
2025-01-02,f4bc2116aa9d2ef7,2025-01-02-16-phishtank,https://www.mbhbank.hu/
2025-01-02,c9a90ebe0860ef9c,2025-01-02-16-phishtank,https://www.google.com/
2025-01-02,7907892231b4a0ee,2025-01-02-16-phishtank,https://www.usatoday.com/
2025-01-02,da4221f6ad9feb07,2025-01-02-16-phishtank,https://www.mbhbank.hu/
2025-01-02,fa4b9d3b2b3d1eb3,2025-01-02-16-phishtank,https://www.mediapart.fr/
2025-01-02,a63a40544a28b66f,2025-01-02-16-openphish,https://www.mediapart.fr/
2025-01-02,275c9b204d342169,2025-01-02-16-openphish,https://metarows.org/
2025-01-02,358a3a14042837e5,2025-01-02-16-openphish,https://www.mediapart.fr/
2025-01-02,fa4b9d3b2b3d1eb3,2025-01-02-16-phishstats,https://www.mediapart.fr/
2025-01-03,71647502d8693a2c,2025-01-03-10-phishstats,https://www.google.com/
2025-01-03,4c501111a538d8a4,2025-01-03-03-phishstats,https://www.google.com/
2025-01-03,ab9129443df989d1,2025-01-03-03-phishstats,https://www.mediapart.fr/
2025-01-03,c9a90ebe0860ef9c,2025-01-03-03-phishstats,https://www.google.com/
2025-01-03,7907892231b4a0ee,2025-01-03-03-phishstats,https://www.realtor.com/?z=signin
2025-01-03,eb36e21a7ce4e280,2025-01-03-10-openphish,https://www.mediapart.fr/
2025-01-03,bed20f6758873796,2025-01-03-10-openphish,https://www.mediapart.fr/
2025-01-03,21f6a78009cec66c,2025-01-03-10-phishtank,https://www.google.com/
